n,length,length_total,width,thickness,type
439,28,32,11,3,Ahrensburgian
440,29,29,12,4,Ahrensburgian
441,33,35,12,3,Ahrensburgian
442,23,29,11,3,Ahrensburgian
443,35,35,10,3,Ahrensburgian
444,33,33,11,4,Ahrensburgian
445,48,48,13,3,Ahrensburgian
446,40,40,15,3,Ahrensburgian
447,43,43,13,3,Ahrensburgian
448,29,29,10,3,Ahrensburgian
449,23,23,9,3,Ahrensburgian
450,30,37,10,3,Ahrensburgian
451,33,33,15,4,Ahrensburgian
452,43,43,14,4,Ahrensburgian
453,42,42,14,4,Ahrensburgian
454,39,39,13,3,Ahrensburgian
455,44,44,14,4,Ahrensburgian
456,39,39,13,5,Ahrensburgian
457,64,64,13,4,Ahrensburgian
458,58,58,14,4,Ahrensburgian
459,37,37,13,3,Ahrensburgian
460,36,36,13,4,Ahrensburgian
461,31,31,13,2,Ahrensburgian
462,29,29,11,2,Ahrensburgian
463,26,26,10,3,Ahrensburgian
464,46,46,11,3,Ahrensburgian
465,55,55,19,4,Ahrensburgian
466,42,42,15,4,Ahrensburgian
467,38,38,10,3,Ahrensburgian
468,36,36,14,3,Ahrensburgian
469,48,48,14,4,Ahrensburgian
470,38,38,8,3,Ahrensburgian
471,46,46,13,5,Ahrensburgian
472,26,26,15,3,Ahrensburgian
473,24,24,11,3,Ahrensburgian
474,37,37,15,4,Ahrensburgian
475,32,32,9,2,Ahrensburgian
476,46,46,14,4,Ahrensburgian
477,44,49,13,3,Ahrensburgian
478,39,45,13,3,Ahrensburgian
479,27,27,14,3,Ahrensburgian
480,27,27,9,2,Ahrensburgian
481,27,27,10,2,Ahrensburgian
482,41,48,12,3,Ahrensburgian
483,27,27,14,3,Ahrensburgian
484,32,32,12,5,Ahrensburgian
485,35,35,15,5,Ahrensburgian
486,37,37,10,3,Ahrensburgian
487,41,41,11,5,Ahrensburgian
488,27,27,10,2,Ahrensburgian
489,26,26,9,2,Ahrensburgian
490,34,34,10,3,Ahrensburgian
491,36,36,10,3,Ahrensburgian
492,36,36,10,3,Ahrensburgian
493,46,48,12,3,Ahrensburgian
494,31,32,10,4,Ahrensburgian
495,39,43,15,3,Ahrensburgian
496,36,36,16,4,Ahrensburgian
497,24,24,9,2,Ahrensburgian
498,32,32,9,3,Ahrensburgian
499,41,41,11,3,Ahrensburgian
500,38,38,12,3,Ahrensburgian
501,35,39,13,3,Ahrensburgian
502,36,36,13,4,Ahrensburgian
503,31,32,11,3,Ahrensburgian
504,43,48,15,3,Ahrensburgian
505,30,30,9,3,Ahrensburgian
506,35,35,11,4,Ahrensburgian
507,33,33,13,3,Ahrensburgian
508,36,36,12,3,Ahrensburgian
509,36,36,9,3,Ahrensburgian
510,33,33,11,2,Ahrensburgian
511,40,40,12,2,Ahrensburgian
512,29,29,12,3,Ahrensburgian
513,57,57,14,3,Ahrensburgian
514,17,17,8,2,Ahrensburgian
515,36,36,13,3,Ahrensburgian
516,41,41,15,4,Ahrensburgian
517,38,40,15,3,Ahrensburgian
518,49,49,12,3,Ahrensburgian
519,40,40,14,4,Ahrensburgian
520,43,43,15,3,Ahrensburgian
521,34,34,10,3,Ahrensburgian
522,39,44,11,3,Ahrensburgian
523,35,40,11,2,Ahrensburgian
524,39,39,12,2,Ahrensburgian
525,35,37,13,3,Ahrensburgian
526,42,45,11,2,Ahrensburgian
527,33,33,9,2,Ahrensburgian
528,39,44,8,3,Ahrensburgian
529,27,29,8,2,Ahrensburgian
530,52,56,17,4,Ahrensburgian
531,49,51,13,3,Ahrensburgian
532,30,30,11,3,Ahrensburgian
533,28,30,13,3,Ahrensburgian
534,46,46,15,3,Ahrensburgian
535,29,33,15,2,Ahrensburgian
536,36,36,10,3,Ahrensburgian
537,27,27,11,3,Ahrensburgian
538,22,22,8,2,Ahrensburgian
539,51,61,20,6,Ahrensburgian
540,40,50,19,4,Ahrensburgian
541,35,42,14,3,Ahrensburgian
542,42,42,15,6,Ahrensburgian
543,40,40,13,4,Ahrensburgian
544,42,42,10,3,Ahrensburgian
545,46,46,13,5,Ahrensburgian
546,44,44,12,3,Ahrensburgian
547,46,51,13,3,Ahrensburgian
548,51,56,12,3,Ahrensburgian
549,37,40,15,4,Ahrensburgian
550,39,43,12,3,Ahrensburgian
551,37,41,16,4,Ahrensburgian
552,35,35,11,3,Ahrensburgian
553,36,36,11,3,Ahrensburgian
554,37,37,10,3,Ahrensburgian
555,27,27,11,3,Ahrensburgian
556,31,36,10,3,Ahrensburgian
557,30,32,10,4,Ahrensburgian
558,103,103,36,9,Ahrensburgian
559,52,61,12,5,Ahrensburgian
560,38,47,14,4,Ahrensburgian
561,44,44,17,3,Ahrensburgian
562,62,65,19,4,Ahrensburgian
563,32,35,13,4,Ahrensburgian
564,31,31,13,3,Ahrensburgian
565,38,38,10,2,Ahrensburgian
566,25,25,9,3,Ahrensburgian
567,18,18,8,2,Ahrensburgian
568,59,59,16,5,Ahrensburgian
569,29,29,12,6,Ahrensburgian
570,33,33,12,4,Ahrensburgian
571,31,31,11,3,Ahrensburgian
572,28,28,10,3,Ahrensburgian
573,32,32,9,3,Ahrensburgian
574,33,33,14,4,Ahrensburgian
575,30,30,12,3,Ahrensburgian
576,54,54,18,6,Perstunian
577,32,32,14,4,Perstunian
578,40,40,13,4,Perstunian
579,66,66,21,9,Perstunian
580,66,66,24,4,Perstunian
581,49,49,16,7,Perstunian
582,60,60,21,8,Perstunian
583,46,46,18,4,Perstunian
584,44,44,14,5,Perstunian
585,46,46,14,7,Perstunian
586,63,63,24,5,Perstunian
587,57,57,18,6,Perstunian
588,42,42,18,4,Perstunian
589,64,64,17,5,Perstunian
590,34,34,11,5,Perstunian
591,32,32,15,8,Perstunian
592,NA,NA,14,2,Perstunian
593,NA,NA,19,5,Perstunian
594,NA,NA,22,6,Perstunian
595,NA,NA,24,10,Perstunian
596,NA,NA,24,9,Perstunian
597,NA,NA,25,13,Perstunian
598,NA,NA,25,13,Perstunian
599,NA,NA,26,9,Perstunian
600,NA,NA,27,10,Perstunian
601,NA,NA,28,10,Perstunian
602,NA,NA,28,11,Perstunian
603,NA,NA,28,12,Perstunian
604,NA,NA,30,12,Perstunian
605,NA,NA,30,8,Perstunian
606,NA,NA,30,7,Perstunian
607,NA,NA,33,10,Perstunian
608,NA,NA,34,10,Perstunian
609,NA,NA,18,8,Perstunian
610,NA,NA,20,NA,Perstunian
611,NA,NA,20,NA,Perstunian
612,NA,NA,20,NA,Perstunian
613,NA,NA,25,NA,Perstunian
614,NA,NA,25,8,Perstunian
615,NA,NA,25,10,Perstunian
616,NA,NA,29,NA,Perstunian
617,NA,NA,33,10,Perstunian
618,NA,NA,35,8,Perstunian
619,NA,NA,36,10,Perstunian
620,NA,NA,17,8,Perstunian
621,NA,NA,17,6,Perstunian
622,NA,NA,18,17,Perstunian
623,NA,NA,19,7,Perstunian
624,NA,NA,21,6,Perstunian
625,NA,NA,21,7,Perstunian
626,NA,NA,26,6,Perstunian
627,NA,NA,28,5,Perstunian
628,NA,NA,10,4,Perstunian
629,NA,NA,13,NA,Perstunian
630,NA,NA,18,NA,Perstunian
631,NA,NA,20,NA,Perstunian
632,NA,NA,22,7,Perstunian
