id,group,site,mound,grave,name,raion,oblast,latitude,longitude,interment,sex,age,grave_type,shaft,gangway,steps,dromos,entrance_screen,boards,organic_lining,body_position,leg_position,ochre,charcoal,chalk,fire,mask,tar,animal_bones,axe_hammer,macehead,arrowhead,spearhead,bow,bronze_knife,bola,wooden_javelin,polishing_plate,arrow_straightener,awl,grindstone,scraper,punch,hammerstone,perforator,casting_mould,tuyere,digging_tool,adze,melting_pot,flint_knife,wooden_cup,wooden_bowl,pottery,body_ornament
21,Budzhak,Novye Raskaetsy,2,3,Novye Raskaetsy 2/3,Shtefan Vode,Moldova,46.53,29.77,single,NA,juvenile,pit with niche,h rectangular,absent,present,absent,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
22,Budzhak,Olaneshty,6,9,Olaneshty 6/9,Shtefan Vode,Moldova,46.5,29.92,single,NA,adult,pit with niche,t rectangular,absent,absent,present,absent,absent,present,supine,extended,present,present,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
23,Budzhak,Olaneshty,14,2,Olaneshty 14/2,Shtefan Vode,Moldova,46.5,29.92,single,male,adult,pit with niche,t rectangular,absent,absent,present,absent,absent,present,supine,extended,present,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present
24,Budzhak,Olaneshty,1,4,Olaneshty 1/4,Shtefan Vode,Moldova,46.5,29.92,single,NA,adult,pit with niche,t elliptical,absent,absent,present,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
25,Budzhak,Olaneshty,1,10,Olaneshty 1/10,Shtefan Vode,Moldova,46.5,29.92,single,NA,adult,NA,NA,absent,absent,absent,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
26,Budzhak,Olaneshty,1,30,Olaneshty 1/30,Shtefan Vode,Moldova,46.5,29.92,single,NA,adult,pit with niche,t rectangular,present,absent,absent,absent,absent,present,supine,bent,present,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
27,Budzhak,Olaneshty,1,31,Olaneshty 1/31,Shtefan Vode,Moldova,46.5,29.92,single,NA,adult,pit with niche,t elliptical,absent,present,present,absent,absent,present,supine,bent,present,present,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
28,Budzhak,Olaneshty,1,2,Olaneshty 1/2,Shtefan Vode,Moldova,46.5,29.92,single,NA,adult,pit with niche,t elliptical,absent,present,present,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
29,Budzhak,Purkary,1,3,Purkary 1/3,Shtefan Vode,Moldova,46.54,29.86,single,NA,adult,NA,NA,absent,absent,absent,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
30,Budzhak,Purkary,1,9,Purkary 1/9,Shtefan Vode,Moldova,46.54,29.86,single,female,adult,pit with niche,t elliptical,absent,absent,absent,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
31,Budzhak,Purkary,1,10,Purkary 1/10,Shtefan Vode,Moldova,46.54,29.86,single,NA,juvenile,NA,NA,absent,absent,absent,absent,absent,present,supine,bent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
